fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,원익투자파트너스,원익투자파트너스 모태자조합 제3호,,,12,,모태펀드,,,,18000000000
투자조합,레오파트너스인베스트먼트,레오파트너스인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,14150000000
투자조합,인터베스트,인터베스트 모태자조합 제2호,,,12,,모태펀드,,,,60000000000
투자조합,대경인베스트먼트,대경인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,에스브이인베스트먼트,에스브이인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,코오롱인베스트먼트,코오롱인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,큐캐피탈파트너스,큐캐피탈파트너스 모태자조합 제1호,,,12,,모태펀드,,,,30000000000
투자조합,유안타인베스트먼트,유안타인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,30000000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,35000000000
투자조합,스틱벤처스,스틱벤처스 모태자조합 제4호,,,12,,모태펀드,,,,158800000000
투자조합,대성창업투자,대성창업투자 모태자조합 제4호,,,12,,모태펀드,,,,7200000000
투자조합,스톤브릿지벤처스,스톤브릿지벤처스 모태자조합 제3호,,,12,,모태펀드,,,,29000000000
투자조합,에스유앤피,에스유앤피 모태자조합 제3호,,,12,,모태펀드,,,,42500000000
투자조합,캡스톤파트너스,캡스톤파트너스 모태자조합 제1호,,,12,,모태펀드,,,,35875000000
투자조합,우리인베스트먼트,우리인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,키움인베스트먼트,키움인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,에스비아이인베스트먼트,에스비아이인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,25000000000
투자조합,컴퍼니케이파트너스,컴퍼니케이파트너스 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,에스엘인베스트먼트,에스엘인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,에이치큐인베스트먼트,에이치큐인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,스마일게이트인베스트먼트,스마일게이트인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,24000000000
투자조합,파트너스인베스트먼트,파트너스인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,30000000000
투자조합,윈브릿지캐피탈,윈브릿지캐피탈 모태자조합 제1호,,,12,,모태펀드,,,,25100000000
투자조합,유니온투자파트너스,유니온투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,동훈인베스트먼트,동훈인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,(말소_창투사)이앤인베스트먼트,(말소_창투사)이앤인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,한화투자증권,한화투자증권 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,에스유앤피,에스유앤피 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,아이비케이캐피탈,아이비케이캐피탈 모태자조합 제2호,,,12,,모태펀드,,,,12000000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제2호,,,12,,모태펀드,,,,30000000000
투자조합,에이치비인베스트먼트,에이치비인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,40000000000
투자조합,에이티넘인베스트먼트,에이티넘인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,45000000000
투자조합,대성창업투자,대성창업투자 모태자조합 제5호,,,12,,모태펀드,,,,16000000000
투자조합,케이넷투자파트너스,케이넷투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,50000000000
투자조합,씨케이디창업투자,씨케이디창업투자 모태자조합 제1호,,,12,,모태펀드,,,,7500000000
투자조합,신한벤처투자,신한벤처투자 모태자조합 제2호,,,12,,모태펀드,,,,28000000000
투자조합,프리미어파트너스,프리미어파트너스 모태자조합 제2호,,,12,,모태펀드,,,,25000000000
투자조합,유안타인베스트먼트,유안타인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,12000000000
